clave_ent,ent,anio,trimestre,pesos_constantes,canasta_alimentaria,desagregacion
1,Aguascalientes,2005,1,1715.01,1922.37,Estatal
1,Aguascalientes,2005,2,1801.87,1948.27,Estatal
1,Aguascalientes,2005,3,1865,2029.43,Estatal
1,Aguascalientes,2005,4,1837.42,2038,Estatal
1,Aguascalientes,2006,1,1776.88,1948.46,Estatal
1,Aguascalientes,2006,2,1883.55,2083.43,Estatal
1,Aguascalientes,2006,3,1898.28,2072.56,Estatal
1,Aguascalientes,2006,4,1856.21,1972.92,Estatal
1,Aguascalientes,2007,1,1849.38,1951.06,Estatal
1,Aguascalientes,2007,2,1906.36,2038.6,Estatal
1,Aguascalientes,2007,3,1836.69,1964.77,Estatal
1,Aguascalientes,2007,4,1908.26,2025.37,Estatal
1,Aguascalientes,2008,1,1968.45,2098.79,Estatal
1,Aguascalientes,2008,2,1844.78,1938.89,Estatal
1,Aguascalientes,2008,3,1847.14,1929.63,Estatal
1,Aguascalientes,2008,4,1778.86,1834.62,Estatal
1,Aguascalientes,2009,1,1651.39,1699.52,Estatal
1,Aguascalientes,2009,2,1671.23,1679.14,Estatal
1,Aguascalientes,2009,3,1645.66,1633.05,Estatal
1,Aguascalientes,2009,4,1645.36,1650.6,Estatal
1,Aguascalientes,2010,1,1677.39,1677.39,Estatal
1,Aguascalientes,2010,2,1652.49,1661.68,Estatal
1,Aguascalientes,2010,3,1669.3,1700.32,Estatal
1,Aguascalientes,2010,4,1590.32,1607.29,Estatal
1,Aguascalientes,2011,1,1613.35,1624.57,Estatal
1,Aguascalientes,2011,2,1593.3,1599.58,Estatal
1,Aguascalientes,2011,3,1590.92,1602.73,Estatal
1,Aguascalientes,2011,4,1515.21,1515.58,Estatal
1,Aguascalientes,2012,1,1589.19,1571.07,Estatal
1,Aguascalientes,2012,2,1645.9,1608.97,Estatal
1,Aguascalientes,2012,3,1622.3,1543.81,Estatal
1,Aguascalientes,2012,4,1682.4,1593.66,Estatal
1,Aguascalientes,2013,1,1628.86,1545.06,Estatal
1,Aguascalientes,2013,2,1662.13,1568.87,Estatal
1,Aguascalientes,2013,3,1525.42,1442.18,Estatal
1,Aguascalientes,2013,4,1672.57,1574.17,Estatal
1,Aguascalientes,2014,1,1572.08,1468.49,Estatal
